,review,labels
0,"Lazy front office girl, no one was there to help picked up stuffs, a really small space along stairway 😓",['service_front_office']
1,suka banget tapi sayang kemarin dapat kamar yang agak sedikit kurang bersih dan bau,"['kebersihan_inroom_P1', 'bau_P1']"
2,kamar saya tidak dapat sabun dan cemilan airy ☹,"['sunrise_meal_P1', 'perlengkapan_mandi_P1']"
3,"di tengah pusat keramaian... staf hotel yang ramah sayang kamarnya kurang bagus,air kurang lancar",['fasilitas']
4,"closet nya rusak kamar mandi tidak bersih lemari sudah jamuran, tidak bersih alas tempat tidur kotor banyak nyamuk ","['rusak', 'serangga', 'kebersihan_inroom_P1']"
5,"staf kurang responsif, hanya sekedar minta air panas secangkir untuk ngopi ja nggu sehari. tempatnya masuk gang sempit harga.  tempat kurang bersih ","['service', 'kebersihan']"
6,Pelayanan hotel tidak memauaskan. Tidak ada sarapan pagi. Tudak ada mangku air. Kasurnya ada semut kecil2 serta pelayannya tidak ramah. ,"['linen_P1', 'service']"
7,"lampu kamar remang2, wc tidak memadai tidak ada handuk, kaca nya lumutan. lobby juga remang2","['fasilitas_inroom', 'handuk_P1', 'kebersihan_inroom_P1']"
8,Untuk ditingkatkan kembali kebersihannya,['kebersihan_inroom_P1']
9,air mati ,['fasilitas']
10,"sebenarnya kamarnya bagus, tp sayang tidak dirawat dan kurang bersih, banyak puntung rokok di lantai, ada tisu bekas pakai dilaci2 dan bekas makanan dikulkas yg sepertinya sudah lama disitu sampai mau membusuk, entah dikamar lain gmn tapi kamar yg saya tempati seperti itu, jd kesannya setelah ada yg check out tidak dibersihkan",['kebersihan_inroom_P1']
11,"Lokasinya strategis dan tempatnya lumayan. Cuman kebersihan kurang,air sering mati dan rasanya asin","['fasilitas_inroom', 'kebersihan']"
12,"servis bagus dan kamar nya gede.tapi kamar nya bau, cahaya lampu agak redup, air panas utk mandi tidak ada.","['air_panas_P1', 'bau_P1']"
13,"tamu kamar sudah tercantum 2 orang,tetapi handuk hanya dikasih 1 aja,,katanya sudah ketentuan,baru mau pesan sudah ditanya suami istri atau bukan..",['handuk_P1']
14,"ini gak recomended banget. resepsionisnya kurang welcom. saat tiba, resepsionisnya bilang bahwa pesanan saya gak terdaftar trus disuruh menghubungi airy. padahal udah booking dari beberapi hari sebelumnya. alhamdulillah pihak airy dan traveloka tanggung jawab dan akhirnya saya dipindah ke hotel yang lain dg fasilitas lebih lengkap. ",['service_front_office']
15,"Lokasi hotel ini bagus, pelayanan ini juga bagus, tapi kondisi ruangan tidak seperti yg diwibesite, kita pulang agak terganggu karena pintu masuk jam 10 sdh dikunci",['fasilitas']
16,Banyak kecoa,['serangga']
17,Kamar mandi kurang bersih...,['kebersihan_inroom_P1']
18,"Kamar terlalu kecil, seperti tak terurus, kualitas jauh dibawah tarif.. ",['fisik_bangunan']
19,"Airnya asin, pelayanan kurang baik.","['service', 'fasilitas_inroom']"
20,Kamar sempit Tdk wangi Gantungan pakaian rusak Air hangatnya tdk fungsi Tdk ada tempat sampah Tdk ada handuk dan sabun ,"['fasilitas_inroom', 'perlengkapan_mandi_P1', 'handuk_P1']"
21,"tempat nyaman banget pelayanananya juga baik, cuman kmaren dpet nya yg kamar ada pintu masuk lagi, dan sebelahnya ada anak kecil dan sangat terganggu krna suara tangisnya terdengar jelas,,  ",['bising']
22,"Lokasi tempat lumayan bagus, bisa di jangkau semua kendaraan apalagi ojol...heheh, berada skitar 50 meter masuk ke dalem lorong dari jalan utama dan juga skitar 50 meter dari indomaret, pecel lele dan nasgor kalau malem, kondisi bersih, rapi dan tenang, untuk handuk perlu di tanyain kalau ga di tanyain ga dapet...hehe, enak untuk istirahat, ac agak kurang dingin dan agak berisik, tapi okelah cukup baik. terimakasih sukses ya. ",['ac_P1']
23,"keadaan real tidak sesuai gambar. apalagi setelah pagi2, pintu kamu dibuka dari luar oleh petugas. saya tidak mengerti apakah itu disengaja atau tidak, yg jelas kami akhirnya check out jam 10 pagi.",['service']
24,"This place quite good with the price we spent, the room was clean, just the bed sheet not really clean, I don't know  they washed it not really clean or they didn't change the sheet either and some leaking mark on the wall and on the ceiling, they need to do some work/ repair on those area. Bathroom have hot water with good amenities in good package. Aircond and wifi was so good. Stay in room 102.","['fisik_bangunan', 'linen_P1']"
25,"Dengan harga minimalis bisa diterima apabila kamar kecil, Tv tabung 14"" dgn gambar yg penuh semut & berwarna merah & sarapan alakadarx.. Namun yg membuat sya cek out lebih cepat 1 hari adalah kamar mandi yang bau kecoak.. Sungguh bikin tidak nyaman","['bau_P1', 'tv_P1']"
