,review,ac_P1,air_minum_P1,air_panas_P1,airy_internal,bau_P1,bising,breakfast,fasilitas,fasilitas_inroom,fasilitas_non_inroom,fisik_bangunan,handuk_P1,kebersihan,kebersihan_inroom_P1,kebersihan_non_inroom,linen_P1,lokasi,marketing_false,overall,perlengkapan_mandi_P1,rusak,serangga,service,service_front_office,service_house_keeping,service_security,sunrise_meal_P1,tidak_sesuai_pesanan,tv_P1,wifi_P1
0,"Lazy front office girl, no one was there to help picked up stuffs, a really small space along stairway 😓",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,suka banget tapi sayang kemarin dapat kamar yang agak sedikit kurang bersih dan bau,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,kamar saya tidak dapat sabun dan cemilan airy ☹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,"di tengah pusat keramaian... staf hotel yang ramah sayang kamarnya kurang bagus,air kurang lancar",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"closet nya rusak kamar mandi tidak bersih lemari sudah jamuran, tidak bersih alas tempat tidur kotor banyak nyamuk ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,"staf kurang responsif, hanya sekedar minta air panas secangkir untuk ngopi ja nggu sehari. tempatnya masuk gang sempit harga.  tempat kurang bersih ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Pelayanan hotel tidak memauaskan. Tidak ada sarapan pagi. Tudak ada mangku air. Kasurnya ada semut kecil2 serta pelayannya tidak ramah. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,"lampu kamar remang2, wc tidak memadai tidak ada handuk, kaca nya lumutan. lobby juga remang2",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Untuk ditingkatkan kembali kebersihannya,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,air mati ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"sebenarnya kamarnya bagus, tp sayang tidak dirawat dan kurang bersih, banyak puntung rokok di lantai, ada tisu bekas pakai dilaci2 dan bekas makanan dikulkas yg sepertinya sudah lama disitu sampai mau membusuk, entah dikamar lain gmn tapi kamar yg saya tempati seperti itu, jd kesannya setelah ada yg check out tidak dibersihkan",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Lokasinya strategis dan tempatnya lumayan. Cuman kebersihan kurang,air sering mati dan rasanya asin",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"servis bagus dan kamar nya gede.tapi kamar nya bau, cahaya lampu agak redup, air panas utk mandi tidak ada.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"tamu kamar sudah tercantum 2 orang,tetapi handuk hanya dikasih 1 aja,,katanya sudah ketentuan,baru mau pesan sudah ditanya suami istri atau bukan..",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"ini gak recomended banget. resepsionisnya kurang welcom. saat tiba, resepsionisnya bilang bahwa pesanan saya gak terdaftar trus disuruh menghubungi airy. padahal udah booking dari beberapi hari sebelumnya. alhamdulillah pihak airy dan traveloka tanggung jawab dan akhirnya saya dipindah ke hotel yang lain dg fasilitas lebih lengkap. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,"Lokasi hotel ini bagus, pelayanan ini juga bagus, tapi kondisi ruangan tidak seperti yg diwibesite, kita pulang agak terganggu karena pintu masuk jam 10 sdh dikunci",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Banyak kecoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,Kamar mandi kurang bersih...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Kamar terlalu kecil, seperti tak terurus, kualitas jauh dibawah tarif.. ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Airnya asin, pelayanan kurang baik.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,Kamar sempit Tdk wangi Gantungan pakaian rusak Air hangatnya tdk fungsi Tdk ada tempat sampah Tdk ada handuk dan sabun ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,"tempat nyaman banget pelayanananya juga baik, cuman kmaren dpet nya yg kamar ada pintu masuk lagi, dan sebelahnya ada anak kecil dan sangat terganggu krna suara tangisnya terdengar jelas,,  ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Lokasi tempat lumayan bagus, bisa di jangkau semua kendaraan apalagi ojol...heheh, berada skitar 50 meter masuk ke dalem lorong dari jalan utama dan juga skitar 50 meter dari indomaret, pecel lele dan nasgor kalau malem, kondisi bersih, rapi dan tenang, untuk handuk perlu di tanyain kalau ga di tanyain ga dapet...hehe, enak untuk istirahat, ac agak kurang dingin dan agak berisik, tapi okelah cukup baik. terimakasih sukses ya. ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
